Materie creata: Matematica,2023-06-05T06:28:23.777745500
Materie citita: Materie1Modificata,2023-06-05T06:36:03.091430500
Materie modificata: Engleza,2023-06-05T06:38:01.783293900
Profesor creat: Andrei,2023-06-05T06:43:47.432034100
Profesor citit: Profesor1Modificat,2023-06-05T06:43:52.522621700
ProfesorTitular creat: Profesor1Modificat,2023-06-05T07:01:39.233505200
ProfesorTitular creat: Andrei,2023-06-05T07:02:15.018673800
AsociereMaterieProfesor creată: 5,2023-06-05T07:09:59.868288600
AsociereMaterieProfesor citită: 5,2023-06-05T07:10:20.406708800
Materie creata: istorie,2023-06-05T07:19:07.582930200
